wl,tulle_16,tulle_12,tulle_8,tulle_6,tulle_4,tulle_3,tulle_2,tulle_1
292.79,9.13,16.535,29.8,37.452,57.118,64.966,74.153,86.697
293.06,8.802,16.387,29.757,37.039,56.571,64.395,73.856,86.676
293.33,9.549,16.882,29.743,36.927,56.739,64.578,74.114,87.258
293.59,9.893,17.293,29.6,37.079,56.757,64.785,73.908,87.277
293.86,10.033,17.184,29.823,36.975,56.543,64.564,73.578,87.131
294.13,10.338,17.442,29.869,37.035,56.673,64.742,73.532,87.385
294.4,9.868,17.077,29.67,36.824,56.32,64.982,73.391,87.121
294.66,9.682,17.086,29.357,36.83,56.165,64.809,73.371,86.675
294.93,9.818,16.837,29.359,36.732,55.694,64.392,73.069,86.302
295.2,9.714,16.837,29.192,36.82,55.567,63.98,73.141,85.916
295.46,9.498,16.918,28.94,36.877,55.539,63.929,73.239,85.866
295.73,9.414,17.073,28.865,37.106,55.586,64.157,73.467,86.052
296,9.578,17.356,29.058,37.321,55.381,64.202,73.589,86.1
296.26,9.311,17.357,28.984,37.269,55.134,63.911,73.363,86.146
296.53,9.26,16.974,28.704,37.198,55.118,63.806,73.554,86.414
296.8,9.094,16.676,28.471,36.952,55.313,63.905,73.376,86.298
297.06,8.843,16.556,28.541,37.043,55.135,64.238,73.151,86.342
