wl,ir
641.357,-0.01
641.692,0
642.026,0
642.36,0
642.694,0
643.029,0
643.363,0
643.697,0
644.031,0
644.365,0
644.698,0
645.032,-0.01
645.366,-0.01
645.7,-0.01
646.034,-0.01
646.367,-0.01
646.701,-0.01
647.034,-0.01
647.368,-0.01
647.701,-0.02
648.035,-0.02
648.368,-0.02
648.701,-0.02
649.035,-0.02
649.368,-0.02
649.701,-0.02
650.034,-0.02
650.367,-0.02
650.7,-0.02
651.033,-0.02
651.366,-0.02
651.699,-0.02
652.032,-0.02
652.365,-0.02
652.697,-0.02
653.03,-0.02
653.363,-0.02
653.695,-0.02
654.028,-0.02
654.36,-0.02
654.692,-0.02
655.025,-0.02
655.357,-0.02
655.689,-0.02
656.022,-0.02
656.354,-0.02
656.686,-0.02
657.018,-0.02
657.35,-0.02
657.682,-0.02
658.014,-0.02
658.346,-0.02
658.678,-0.02
659.009,-0.02
659.341,-0.02
659.673,-0.02
660.004,-0.02
660.336,-0.01
660.667,-0.01
660.999,-0.02
661.33,-0.02
661.662,-0.02
661.993,-0.02
662.324,-0.02
662.656,-0.02
662.987,-0.02
663.318,-0.02
663.649,-0.02
663.98,-0.02
664.311,-0.02
664.642,-0.02
664.973,-0.02
665.303,-0.02
665.634,-0.02
665.965,-0.02
666.296,-0.01
666.626,-0.01
666.957,-0.01
667.287,0
667.618,0
667.948,0
668.279,0
668.609,0
668.939,0
669.269,0
669.6,0
669.93,-0.01
670.26,-0.01
670.59,-0.01
670.92,-0.01
671.25,-0.01
671.58,-0.01
671.909,-0.01
672.239,-0.01
672.569,-0.01
672.898,-0.01
673.228,-0.01
673.558,-0.01
673.887,-0.01
674.217,-0.01
674.546,-0.01
674.875,-0.01
675.205,-0.01
675.534,-0.01
675.863,-0.01
676.192,-0.01
676.521,-0.01
676.851,-0.01
677.18,-0.01
677.508,-0.01
677.837,-0.01
678.166,-0.01
678.495,-0.01
678.824,-0.01
679.152,-0.01
679.481,0
679.81,-0.01
680.138,-0.01
680.467,-0.01
680.795,-0.01
681.124,-0.01
681.452,-0.01
681.78,-0.01
682.109,-0.01
682.437,-0.01
682.765,-0.01
683.093,-0.01
683.421,-0.01
683.749,-0.01
684.077,-0.01
684.405,-0.01
684.733,-0.01
685.06,-0.01
685.388,-0.01
685.716,-0.01
686.044,-0.01
686.371,-0.01
686.699,-0.02
687.026,-0.02
687.354,-0.02
687.681,-0.02
688.008,-0.02
688.336,-0.02
688.663,-0.02
688.99,-0.02
689.317,-0.02
689.644,-0.02
689.971,-0.02
690.298,-0.02
690.625,-0.02
690.952,-0.02
691.279,-0.02
691.606,-0.02
691.932,-0.02
692.259,-0.01
692.586,-0.01
692.912,-0.01
693.239,-0.01
693.565,-0.01
693.892,-0.01
694.218,-0.01
694.544,-0.01
694.87,-0.01
695.197,-0.01
695.523,-0.01
695.849,-0.01
696.175,-0.02
696.501,-0.02
696.827,-0.02
697.153,-0.02
697.479,-0.02
697.804,-0.02
698.13,-0.02
698.456,-0.02
